5,683,605,3,3
6,683,606,3,3
6,685,7,1,0
7,683,607,3,3
7,685,8,1,0
8,683,608,3,3
8,685,33,2,0
9,683,8,0,1
9,685,34,2,0
10,683,9,0,1
10,685,35,2,0
11,683,10,0,1
12,683,11,0,1
18,683,19,1,0
19,683,20,1,0
19,685,18,0,1
20,683,21,1,0
20,685,45,2,0
21,683,621,3,3
21,685,46,2,0
22,683,622,3,3
22,685,21,0,1
23,683,623,3,3
23,685,24,1,0
24,683,624,3,3
30,683,5,0,2
31,683,6,0,2
31,685,32,2,1
32,683,7,0,2
32,685,33,2,1
33,683,8,0,2
33,685,58,3,0
34,683,33,1,2
34,685,59,3,0
35,683,34,1,2
35,685,60,3,0
36,683,35,1,2
37,683,36,1,2
43,683,44,2,1
44,683,45,2,1
44,685,43,1,2
45,683,46,2,1
45,685,70,3,0
46,683,21,0,2
46,685,71,3,0
47,683,22,0,2
47,685,46,1,2
48,683,23,0,2
48,685,49,2,1
49,683,24,0,2
55,683,80,3,0
56,683,81,3,0
56,685,57,2,1
57,683,82,3,0
57,685,58,2,1
59,683,58,1,2
59,685,84,3,0
60,683,59,1,2
60,685,85,3,0
61,683,60,1,2
62,683,61,1,2
68,683,69,2,1
69,683,70,2,1
69,685,68,1,2
70,683,71,2,1
70,685,95,3,0
72,683,97,3,0
72,685,71,1,2
73,683,98,3,0
73,685,74,2,1
74,683,99,3,0
80,683,105,3,0
81,683,106,3,0
81,685,82,2,1
82,683,107,3,0
82,685,83,2,1
84,683,83,1,2
84,685,109,3,0
85,683,84,1,2
85,685,110,3,0
86,683,85,1,2
87,683,86,1,2
93,683,94,2,1
94,683,95,2,1
94,685,93,1,2
95,683,96,2,1
95,685,120,3,0
97,683,122,3,0
97,685,96,1,2
98,683,123,3,0
98,685,99,2,1
99,683,124,3,0
105,683,130,3,0
106,683,131,3,0
106,685,107,2,1
107,683,132,3,0
107,685,108,2,1
109,683,108,1,2
109,685,134,3,0
110,683,109,1,2
110,685,135,3,0
111,683,110,1,2
112,683,111,1,2
118,683,119,2,1
119,683,120,2,1
119,685,118,1,2
120,683,121,2,1
120,685,145,3,0
122,683,147,3,0
122,685,121,1,2
123,683,148,3,0
123,685,124,2,1
124,683,149,3,0
130,683,155,3,0
131,683,156,3,0
131,685,132,2,1
132,683,157,3,0
132,685,133,2,1
134,683,133,1,2
134,685,159,3,0
135,683,134,1,2
135,685,160,3,0
136,683,135,1,2
137,683,136,1,2
143,683,144,2,1
144,683,145,2,1
144,685,143,1,2
145,683,146,2,1
145,685,170,3,0
147,683,172,3,0
147,685,146,1,2
148,683,173,3,0
148,685,149,2,1
149,683,174,3,0
155,683,180,3,0
156,683,181,3,0
156,685,157,2,1
157,683,182,3,0
157,685,158,2,1
158,683,183,3,0
159,683,158,1,2
159,685,184,3,0
160,683,159,1,2
160,685,185,3,0
161,683,160,1,2
162,683,161,1,2
168,683,169,2,1
169,683,170,2,1
169,685,168,1,2
170,683,171,2,1
170,685,195,3,0
171,683,196,3,0
172,683,197,3,0
172,685,171,1,2
173,683,198,3,0
173,685,174,2,1
174,683,199,3,0
180,683,205,3,0
181,683,206,3,0
181,685,182,2,1
182,683,207,3,0
182,685,183,2,1
183,683,208,3,0
184,683,183,1,2
184,685,209,3,0
185,683,184,1,2
185,685,210,3,0
186,683,185,1,2
187,683,186,1,2
193,683,194,2,1
194,683,195,2,1
194,685,193,1,2
195,683,196,2,1
195,685,220,3,0
196,683,221,3,0
197,683,222,3,0
197,685,196,1,2
198,683,223,3,0
198,685,199,2,1
199,683,224,3,0
205,683,230,3,0
206,683,231,3,0
206,685,207,2,1
207,683,232,3,0
207,685,208,2,1
208,683,233,3,0
208,685,209,2,1
209,683,208,1,2
209,685,210,2,1
210,683,209,1,2
210,685,685,64,0
211,683,210,1,2
212,683,211,1,2
218,683,219,2,1
219,683,220,2,1
219,685,218,1,2
220,683,221,2,1
220,685,219,1,2
221,683,246,3,0
221,685,220,1,2
222,683,247,3,0
222,685,221,1,2
223,683,248,3,0
223,685,224,2,1
224,683,249,3,0
230,683,255,3,0
231,683,256,3,0
231,685,232,2,1
232,683,257,3,0
232,685,233,2,1
233,683,258,3,0
233,685,208,0,3
234,683,233,1,2
234,685,209,0,3
235,683,234,1,2
235,685,210,0,3
236,683,235,1,2
237,683,236,1,2
243,683,244,2,1
244,683,245,2,1
244,685,243,1,2
245,683,246,2,1
245,685,220,0,3
246,683,271,3,0
246,685,221,0,3
247,683,272,3,0
247,685,246,1,2
248,683,273,3,0
248,685,249,2,1
249,683,274,3,0
255,683,280,3,0
256,683,281,3,0
256,685,257,2,1
257,683,282,3,0
257,685,258,2,1
258,683,283,3,0
258,685,233,0,3
