13,40,0.500000
13,84,0.500000
38,61,0.500000
38,96,0.500000
60,34,0.500000
60,80,0.500000
138,28,0.500000
138,88,0.500000
139,102,1.000000
139,103,1.000000
207,19,1.000000
207,84,1.000000
356,56,0.333333
356,83,0.333333
356,103,0.333333
357,12,1.000000
357,62,1.000000
462,6,0.500000
462,36,0.500000
582,42,1.000000
582,86,1.000000
627,0,0.500000
633,0,1.000000
640,0,1.000000
649,0,0.500000
655,0,0.500000
657,0,0.500000
661,0,0.500000
663,0,1.000000
677,0,0.333333
682,0,0.500000
683,0,1.000000
701,0,0.500000
704,0,0.333333
707,0,1.000000
709,0,0.500000
717,0,0.500000
723,0,1.000000
724,0,0.333333
