TCP Flow ID     Source    Target    Size            Start time (ns)   End time (ns)     Duration        Sent            Progress     Avg. rate       Finished?     Metadata
46              718       711       40.00 Mbit      138000000000      145361364508      7361.36 ms      40.00 Mbit      100.0%       5.4 Mbit/s      YES           handover_eval
47              708       642       40.00 Mbit      141000000000      147865951723      6865.95 ms      40.00 Mbit      100.0%       5.8 Mbit/s      YES           handover_eval
48              704       700       40.00 Mbit      144000000000      154278299217      10278.30 ms     40.00 Mbit      100.0%       3.9 Mbit/s      YES           handover_eval
49              698       710       40.00 Mbit      147000000000      154697601922      7697.60 ms      40.00 Mbit      100.0%       5.2 Mbit/s      YES           handover_eval
50              671       661       40.00 Mbit      150000000000      158853983880      8853.98 ms      40.00 Mbit      100.0%       4.5 Mbit/s      YES           handover_eval
51              660       701       40.00 Mbit      153000000000      159118668498      6118.67 ms      40.00 Mbit      100.0%       6.5 Mbit/s      YES           handover_eval
52              720       653       40.00 Mbit      156000000000      162656694223      6656.69 ms      40.00 Mbit      100.0%       6.0 Mbit/s      YES           handover_eval
53              648       650       40.00 Mbit      159000000000      167386267381      8386.27 ms      40.00 Mbit      100.0%       4.8 Mbit/s      YES           handover_eval
54              665       690       40.00 Mbit      162000000000      168018867360      6018.87 ms      40.00 Mbit      100.0%       6.6 Mbit/s      YES           handover_eval
55              721       635       40.00 Mbit      165000000000      175108976711      10108.98 ms     40.00 Mbit      100.0%       4.0 Mbit/s      YES           handover_eval
56              721       722       40.00 Mbit      168000000000      173923851116      5923.85 ms      40.00 Mbit      100.0%       6.8 Mbit/s      YES           handover_eval
57              687       714       40.00 Mbit      171000000000      181064707473      10064.71 ms     40.00 Mbit      100.0%       4.0 Mbit/s      YES           handover_eval
58              719       649       40.00 Mbit      174000000000      182997115648      8997.12 ms      40.00 Mbit      100.0%       4.4 Mbit/s      YES           handover_eval
59              693       709       40.00 Mbit      177000000000      189559123674      12559.12 ms     40.00 Mbit      100.0%       3.2 Mbit/s      YES           handover_eval
60              652       653       40.00 Mbit      180000000000      196947688924      16947.69 ms     40.00 Mbit      100.0%       2.4 Mbit/s      YES           handover_eval
61              642       653       40.00 Mbit      183000000000      190592247068      7592.25 ms      40.00 Mbit      100.0%       5.3 Mbit/s      YES           handover_eval
62              650       694       40.00 Mbit      186000000000      192423705197      6423.71 ms      40.00 Mbit      100.0%       6.2 Mbit/s      YES           handover_eval
63              644       677       40.00 Mbit      189000000000      194171674807      5171.67 ms      40.00 Mbit      100.0%       7.7 Mbit/s      YES           handover_eval
64              635       695       40.00 Mbit      192000000000      196343120428      4343.12 ms      40.00 Mbit      100.0%       9.2 Mbit/s      YES           handover_eval
65              714       664       40.00 Mbit      195000000000      205739103383      10739.10 ms     40.00 Mbit      100.0%       3.7 Mbit/s      YES           handover_eval
66              685       722       40.00 Mbit      198000000000      206990505455      8990.51 ms      40.00 Mbit      100.0%       4.4 Mbit/s      YES           handover_eval
67              660       634       40.00 Mbit      201000000000      209361839340      8361.84 ms      40.00 Mbit      100.0%       4.8 Mbit/s      YES           handover_eval
68              687       719       40.00 Mbit      204000000000      211660848504      7660.85 ms      40.00 Mbit      100.0%       5.2 Mbit/s      YES           handover_eval
69              673       671       40.00 Mbit      207000000000      214845690175      7845.69 ms      40.00 Mbit      100.0%       5.1 Mbit/s      YES           handover_eval
70              711       664       40.00 Mbit      210000000000      216401858503      6401.86 ms      40.00 Mbit      100.0%       6.2 Mbit/s      YES           handover_eval
71              684       642       40.00 Mbit      213000000000      217488829040      4488.83 ms      40.00 Mbit      100.0%       8.9 Mbit/s      YES           handover_eval
72              651       681       40.00 Mbit      216000000000      220654433514      4654.43 ms      40.00 Mbit      100.0%       8.6 Mbit/s      YES           handover_eval
73              633       694       40.00 Mbit      219000000000      225637827077      6637.83 ms      40.00 Mbit      100.0%       6.0 Mbit/s      YES           handover_eval
74              697       661       40.00 Mbit      222000000000      226896679440      4896.68 ms      40.00 Mbit      100.0%       8.2 Mbit/s      YES           handover_eval
75              653       687       40.00 Mbit      225000000000      231627874542      6627.87 ms      40.00 Mbit      100.0%       6.0 Mbit/s      YES           handover_eval
76              627       724       40.00 Mbit      228000000000      233683530785      5683.53 ms      40.00 Mbit      100.0%       7.0 Mbit/s      YES           handover_eval
