0,Ciudad-de-México-(Mexico-City),19.427318,-99.141869,0.000000,-956013.259084,-5940788.312317,2108015.826874
1,Krung-Thep-(Bangkok),13.721964,100.525248,0.000000,-1132045.841289,6092987.288584,1503115.898128
2,Chicago,41.850030,-87.650050,0.000000,195096.855909,-4754125.753385,4233209.250228
3,Thành-Pho-Ho-Chí-Minh-(Ho-Chi-Minh-City),10.750000,106.666670,0.000000,-1797376.449356,6003654.168380,1181849.053055
4,Santiago,-33.456940,-70.648270,0.000000,1765090.062721,-5025755.180048,-3496349.820519
5,Luanda,-8.836820,13.234320,0.000000,6135530.183815,1442953.502786,-973332.344974
6,Monterrey,25.666670,-100.316670,0.000000,-1030190.682169,-5659412.855777,2745823.571687
7,Melbourne,-37.814000,144.963320,0.000000,-4130860.083993,2896402.244316,-3889153.848915
8,Ji'nan--Shandong,36.676721,116.997142,0.000000,-2324885.209629,4563406.853589,3788679.751898
9,Cape-Town,-33.925840,18.423220,0.000000,5026326.651018,1674299.048189,-3539623.040838
10,Kano,12.000120,8.516720,0.000000,6170850.907250,924080.920789,1317415.183454
11,Ürümqi-(Wulumqi),43.825320,87.603835,0.000000,192693.987165,4604906.103615,4394108.399383
12,Shizuoka-Hamamatsu-M.M.A.,34.976900,138.383100,0.000000,-3911376.078362,3474745.846464,3635766.404234
13,Seattle,47.626353,-122.333144,0.000000,-2303293.261928,-3638787.587477,4688975.858180
14,Campinas,-22.910942,-47.065587,0.000000,4003830.937680,-4303448.943487,-2467637.150949
15,Izmir,38.412730,27.138380,0.000000,4453179.212692,2282572.356615,3941442.316101
16,Santo-Domingo,18.489591,-69.901805,0.000000,2079285.575576,-5682469.568649,2009849.068394
17,Caracas,10.488010,-66.879190,0.000000,2462940.133233,-5768475.827469,1153366.139315
18,Kumasi,6.688480,-1.624430,0.000000,6332467.702194,-179584.040489,737928.566811
19,Sapporo,43.064170,141.346940,0.000000,-3644726.021059,2915076.875277,4332711.604103
20,Coimbatore,10.992500,76.961390,0.000000,1412725.949451,6100430.074961,1208191.474725
21,Birmingham-(West-Midlands),52.481400,-1.899800,0.000000,3890470.654351,-129046.608555,5035602.974311
22,Pretoria,-25.744860,28.187830,0.000000,5066886.428396,2715455.158544,-2753628.466217
23,Manaus,-3.101940,-60.025000,0.000000,3182019.280259,-5516976.936116,-342830.512644
24,Luoyang,34.618562,112.456179,0.000000,-2007127.538939,4856136.187651,3603122.507632
25,Barranquilla,10.963890,-74.796390,0.000000,1642333.874283,-6043287.943568,1205084.707670
26,Rabat,34.013250,-6.832550,0.000000,5254848.187635,-629630.666757,3547663.999639
27,Baotou,40.652220,109.822220,0.000000,-1643237.331434,4558719.401060,4133197.630528
28,Conakry,9.571642,-13.647602,0.000000,6112329.588703,-1484104.645903,1053558.636997
29,Perth,-31.947841,115.852514,0.000000,-2362167.829590,4874971.075412,-3355524.294591
30,Hamburg,53.550000,10.000000,0.000000,3739923.346635,659449.391793,5107144.193890
31,La-Paz,-16.500000,-68.150000,0.000000,2276662.227109,-5677687.196478,-1799847.553039
32,Cleveland,41.498587,-81.687402,0.000000,691652.557426,-4733819.057763,4204053.608786
33,San-Jose,37.339390,-121.894960,0.000000,-2682626.259872,-4310664.481232,3847406.069756
34,Semarang,-6.993200,110.420300,0.000000,-2208911.786341,5933149.731382,-771387.605942
35,Charlotte,35.227090,-80.843130,0.000000,830053.585424,-5149463.526488,3658474.951943
36,Gaziantep,37.059440,37.382500,0.000000,4049297.051163,3093962.073267,3822658.332035
37,Grande-São-Luís,-2.538539,-44.283186,0.000000,4561640.963892,-4448906.248604,-280607.057512
38,Ciudad-Juárez,31.733330,-106.483330,0.000000,-1540594.144680,-5206520.841366,3335317.781645
39,Yekaterinburg,56.857500,60.612500,0.000000,1715184.787700,3045515.985230,5317239.449093
40,Auckland,-36.866670,174.766670,0.000000,-5087586.108007,465990.818340,-3805564.816121
41,Aurangabad,19.876619,75.343310,0.000000,1518284.817369,5805231.950499,2154856.229519
42,Al-Madinah-(Medina),24.463501,39.611106,0.000000,4475097.191044,3703583.687096,2625097.469168
43,Maceió,-9.665830,-35.735280,0.000000,5104269.372608,-3672557.558440,-1063829.866045
44,Ranchi,23.350000,85.333330,0.000000,476668.824474,5839429.846175,2512352.137087
45,Kigali,-1.947364,30.057897,0.000000,5517234.695507,3192814.783225,-215287.687429
46,Kananga,-5.896240,22.416590,0.000000,5865189.228790,2419443.564481,-650845.148159
47,Omsk,55.000000,73.400000,0.000000,1047502.766915,3513778.168387,5201382.108912
