UDP burst ID    From      To        Target rate         Start time      Duration        Incoming rate (w/ headers)  Incoming rate (payload)     Packets received   Data received (w/headers)   Data received (payload)     Metadata
23              700       641       2.00 Mbit/s         230000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000               24.00 Mbit                  23.55 Mbit                  handover_eval
24              708       695       2.00 Mbit/s         240000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000               24.00 Mbit                  23.55 Mbit                  handover_eval
25              677       721       2.00 Mbit/s         250000.00 ms    12000.00 ms     1.94 Mbit/s                 1.90 Mbit/s                 1939               23.27 Mbit                  22.83 Mbit                  handover_eval
26              656       715       2.00 Mbit/s         260000.00 ms    12000.00 ms     1.97 Mbit/s                 1.94 Mbit/s                 1973               23.68 Mbit                  23.23 Mbit                  handover_eval
27              653       687       2.00 Mbit/s         270000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000               24.00 Mbit                  23.55 Mbit                  handover_eval
28              630       635       2.00 Mbit/s         280000.00 ms    12000.00 ms     1.93 Mbit/s                 1.90 Mbit/s                 1934               23.21 Mbit                  22.77 Mbit                  handover_eval
29              693       628       2.00 Mbit/s         290000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000               24.00 Mbit                  23.55 Mbit                  handover_eval
30              716       692       2.00 Mbit/s         300000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000               24.00 Mbit                  23.55 Mbit                  handover_eval
31              625       709       2.00 Mbit/s         310000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000               24.00 Mbit                  23.55 Mbit                  handover_eval
32              658       682       2.00 Mbit/s         320000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000               24.00 Mbit                  23.55 Mbit                  handover_eval
33              691       685       2.00 Mbit/s         330000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000               24.00 Mbit                  23.55 Mbit                  handover_eval
34              680       674       2.00 Mbit/s         340000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000               24.00 Mbit                  23.55 Mbit                  handover_eval
35              679       707       2.00 Mbit/s         350000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000               24.00 Mbit                  23.55 Mbit                  handover_eval
36              706       626       2.00 Mbit/s         360000.00 ms    12000.00 ms     1.94 Mbit/s                 1.90 Mbit/s                 1937               23.24 Mbit                  22.81 Mbit                  handover_eval
37              692       683       2.00 Mbit/s         370000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000               24.00 Mbit                  23.55 Mbit                  handover_eval
38              648       642       2.00 Mbit/s         380000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000               24.00 Mbit                  23.55 Mbit                  handover_eval
39              704       628       2.00 Mbit/s         390000.00 ms    12000.00 ms     1.98 Mbit/s                 1.95 Mbit/s                 1982               23.78 Mbit                  23.34 Mbit                  handover_eval
40              633       690       2.00 Mbit/s         400000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000               24.00 Mbit                  23.55 Mbit                  handover_eval
41              722       635       2.00 Mbit/s         410000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000               24.00 Mbit                  23.55 Mbit                  handover_eval
42              648       688       2.00 Mbit/s         420000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000               24.00 Mbit                  23.55 Mbit                  handover_eval
43              708       705       2.00 Mbit/s         430000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000               24.00 Mbit                  23.55 Mbit                  handover_eval
44              655       652       2.00 Mbit/s         440000.00 ms    12000.00 ms     1.97 Mbit/s                 1.94 Mbit/s                 1973               23.68 Mbit                  23.23 Mbit                  handover_eval
45              650       702       2.00 Mbit/s         450000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000               24.00 Mbit                  23.55 Mbit                  handover_eval
46              665       636       2.00 Mbit/s         460000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000               24.00 Mbit                  23.55 Mbit                  handover_eval
47              657       718       2.00 Mbit/s         470000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000               24.00 Mbit                  23.55 Mbit                  handover_eval
48              628       711       2.00 Mbit/s         480000.00 ms    12000.00 ms     1.95 Mbit/s                 1.91 Mbit/s                 1950               23.40 Mbit                  22.96 Mbit                  handover_eval
49              679       639       2.00 Mbit/s         490000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000               24.00 Mbit                  23.55 Mbit                  handover_eval
50              637       658       2.00 Mbit/s         500000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000               24.00 Mbit                  23.55 Mbit                  handover_eval
51              630       704       2.00 Mbit/s         510000.00 ms    12000.00 ms     1.98 Mbit/s                 1.94 Mbit/s                 1978               23.74 Mbit                  23.29 Mbit                  handover_eval
