0,685,665,2.000000,0,12000000000,2.000000,1.962667,2000,3000000,2944000,handover_eval
1,722,680,2.000000,10000000000,12000000000,1.938000,1.901824,1938,2907000,2852736,handover_eval
2,707,680,2.000000,20000000000,12000000000,1.898000,1.862571,1898,2847000,2793856,handover_eval
3,637,663,2.000000,30000000000,12000000000,2.000000,1.962667,2000,3000000,2944000,handover_eval
4,671,699,2.000000,40000000000,12000000000,2.000000,1.962667,2000,3000000,2944000,handover_eval
5,638,657,2.000000,50000000000,12000000000,2.000000,1.962667,2000,3000000,2944000,handover_eval
6,675,628,2.000000,60000000000,12000000000,2.000000,1.962667,2000,3000000,2944000,handover_eval
7,707,662,2.000000,70000000000,12000000000,2.000000,1.962667,2000,3000000,2944000,handover_eval
8,671,648,2.000000,80000000000,12000000000,2.000000,1.962667,2000,3000000,2944000,handover_eval
9,640,691,2.000000,90000000000,12000000000,2.000000,1.962667,2000,3000000,2944000,handover_eval
10,693,638,2.000000,100000000000,12000000000,2.000000,1.962667,2000,3000000,2944000,handover_eval
11,642,677,2.000000,110000000000,12000000000,2.000000,1.962667,2000,3000000,2944000,handover_eval
12,711,703,2.000000,120000000000,12000000000,2.000000,1.962667,2000,3000000,2944000,handover_eval
13,709,700,2.000000,130000000000,12000000000,2.000000,1.962667,2000,3000000,2944000,handover_eval
14,638,712,2.000000,140000000000,12000000000,1.948000,1.911637,1948,2922000,2867456,handover_eval
15,641,691,2.000000,150000000000,12000000000,2.000000,1.962667,2000,3000000,2944000,handover_eval
16,702,694,2.000000,160000000000,12000000000,2.000000,1.962667,2000,3000000,2944000,handover_eval
17,708,682,2.000000,170000000000,12000000000,2.000000,1.962667,2000,3000000,2944000,handover_eval
18,693,714,2.000000,180000000000,12000000000,2.000000,1.962667,2000,3000000,2944000,handover_eval
19,696,651,2.000000,190000000000,12000000000,2.000000,1.962667,2000,3000000,2944000,handover_eval
20,682,641,2.000000,200000000000,12000000000,2.000000,1.962667,2000,3000000,2944000,handover_eval
21,636,658,2.000000,210000000000,12000000000,2.000000,1.962667,2000,3000000,2944000,handover_eval
22,651,628,2.000000,220000000000,12000000000,2.000000,1.962667,2000,3000000,2944000,handover_eval
23,700,641,2.000000,230000000000,12000000000,2.000000,1.962667,2000,3000000,2944000,handover_eval
24,708,695,2.000000,240000000000,12000000000,2.000000,1.962667,2000,3000000,2944000,handover_eval
25,677,721,2.000000,250000000000,12000000000,1.939000,1.902805,1939,2908500,2854208,handover_eval
26,656,715,2.000000,260000000000,12000000000,1.973000,1.936171,1973,2959500,2904256,handover_eval
27,653,687,2.000000,270000000000,12000000000,2.000000,1.962667,2000,3000000,2944000,handover_eval
28,630,635,2.000000,280000000000,12000000000,1.934000,1.897899,1934,2901000,2846848,handover_eval
29,693,628,2.000000,290000000000,12000000000,2.000000,1.962667,2000,3000000,2944000,handover_eval
30,716,692,2.000000,300000000000,12000000000,2.000000,1.962667,2000,3000000,2944000,handover_eval
31,625,709,2.000000,310000000000,12000000000,2.000000,1.962667,2000,3000000,2944000,handover_eval
32,658,682,2.000000,320000000000,12000000000,2.000000,1.962667,2000,3000000,2944000,handover_eval
33,691,685,2.000000,330000000000,12000000000,2.000000,1.962667,2000,3000000,2944000,handover_eval
34,680,674,2.000000,340000000000,12000000000,2.000000,1.962667,2000,3000000,2944000,handover_eval
35,679,707,2.000000,350000000000,12000000000,2.000000,1.962667,2000,3000000,2944000,handover_eval
36,706,626,2.000000,360000000000,12000000000,1.937000,1.900843,1937,2905500,2851264,handover_eval
37,692,683,2.000000,370000000000,12000000000,2.000000,1.962667,2000,3000000,2944000,handover_eval
38,648,642,2.000000,380000000000,12000000000,2.000000,1.962667,2000,3000000,2944000,handover_eval
39,704,628,2.000000,390000000000,12000000000,1.982000,1.945003,1982,2973000,2917504,handover_eval
40,633,690,2.000000,400000000000,12000000000,2.000000,1.962667,2000,3000000,2944000,handover_eval
41,722,635,2.000000,410000000000,12000000000,2.000000,1.962667,2000,3000000,2944000,handover_eval
42,648,688,2.000000,420000000000,12000000000,2.000000,1.962667,2000,3000000,2944000,handover_eval
43,708,705,2.000000,430000000000,12000000000,2.000000,1.962667,2000,3000000,2944000,handover_eval
44,655,652,2.000000,440000000000,12000000000,1.973000,1.936171,1973,2959500,2904256,handover_eval
45,650,702,2.000000,450000000000,12000000000,2.000000,1.962667,2000,3000000,2944000,handover_eval
46,665,636,2.000000,460000000000,12000000000,2.000000,1.962667,2000,3000000,2944000,handover_eval
47,657,718,2.000000,470000000000,12000000000,2.000000,1.962667,2000,3000000,2944000,handover_eval
48,628,711,2.000000,480000000000,12000000000,1.950000,1.913600,1950,2925000,2870400,handover_eval
49,679,639,2.000000,490000000000,12000000000,2.000000,1.962667,2000,3000000,2944000,handover_eval
50,637,658,2.000000,500000000000,12000000000,2.000000,1.962667,2000,3000000,2944000,handover_eval
51,630,704,2.000000,510000000000,12000000000,1.978000,1.941077,1978,2967000,2911616,handover_eval
52,678,691,2.000000,520000000000,12000000000,2.000000,1.962667,2000,3000000,2944000,handover_eval
53,637,713,2.000000,530000000000,12000000000,1.980000,1.943040,1980,2970000,2914560,handover_eval
54,663,691,2.000000,540000000000,12000000000,2.000000,1.962667,2000,3000000,2944000,handover_eval
55,698,682,2.000000,550000000000,12000000000,2.000000,1.962667,2000,3000000,2944000,handover_eval
56,665,700,2.000000,560000000000,12000000000,2.000000,1.962667,2000,3000000,2944000,handover_eval
57,697,704,2.000000,570000000000,12000000000,2.000000,1.962667,2000,3000000,2944000,handover_eval
58,674,718,2.000000,580000000000,12000000000,2.000000,1.962667,2000,3000000,2944000,handover_eval
59,712,722,2.000000,590000000000,12000000000,2.000000,1.962667,2000,3000000,2944000,handover_eval
60,719,656,2.000000,600000000000,12000000000,2.000000,1.962667,2000,3000000,2944000,handover_eval
61,723,674,2.000000,610000000000,12000000000,2.000000,1.962667,2000,3000000,2944000,handover_eval
