UDP burst ID    From      To        Target rate         Start time      Duration        Outgoing rate (w/ headers)  Outgoing rate (payload)     Packets sent    Data sent (w/headers)       Data sent (payload)         Metadata
13              709       700       2.00 Mbit/s         130000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000            24.00 Mbit                  23.55 Mbit                  handover_eval
14              638       712       2.00 Mbit/s         140000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000            24.00 Mbit                  23.55 Mbit                  handover_eval
15              641       691       2.00 Mbit/s         150000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000            24.00 Mbit                  23.55 Mbit                  handover_eval
16              702       694       2.00 Mbit/s         160000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000            24.00 Mbit                  23.55 Mbit                  handover_eval
17              708       682       2.00 Mbit/s         170000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000            24.00 Mbit                  23.55 Mbit                  handover_eval
18              693       714       2.00 Mbit/s         180000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000            24.00 Mbit                  23.55 Mbit                  handover_eval
19              696       651       2.00 Mbit/s         190000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000            24.00 Mbit                  23.55 Mbit                  handover_eval
20              682       641       2.00 Mbit/s         200000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000            24.00 Mbit                  23.55 Mbit                  handover_eval
21              636       658       2.00 Mbit/s         210000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000            24.00 Mbit                  23.55 Mbit                  handover_eval
22              651       628       2.00 Mbit/s         220000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000            24.00 Mbit                  23.55 Mbit                  handover_eval
23              700       641       2.00 Mbit/s         230000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000            24.00 Mbit                  23.55 Mbit                  handover_eval
24              708       695       2.00 Mbit/s         240000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000            24.00 Mbit                  23.55 Mbit                  handover_eval
25              677       721       2.00 Mbit/s         250000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000            24.00 Mbit                  23.55 Mbit                  handover_eval
26              656       715       2.00 Mbit/s         260000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000            24.00 Mbit                  23.55 Mbit                  handover_eval
27              653       687       2.00 Mbit/s         270000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000            24.00 Mbit                  23.55 Mbit                  handover_eval
28              630       635       2.00 Mbit/s         280000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000            24.00 Mbit                  23.55 Mbit                  handover_eval
29              693       628       2.00 Mbit/s         290000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000            24.00 Mbit                  23.55 Mbit                  handover_eval
30              716       692       2.00 Mbit/s         300000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000            24.00 Mbit                  23.55 Mbit                  handover_eval
31              625       709       2.00 Mbit/s         310000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000            24.00 Mbit                  23.55 Mbit                  handover_eval
32              658       682       2.00 Mbit/s         320000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000            24.00 Mbit                  23.55 Mbit                  handover_eval
33              691       685       2.00 Mbit/s         330000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000            24.00 Mbit                  23.55 Mbit                  handover_eval
34              680       674       2.00 Mbit/s         340000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000            24.00 Mbit                  23.55 Mbit                  handover_eval
35              679       707       2.00 Mbit/s         350000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000            24.00 Mbit                  23.55 Mbit                  handover_eval
36              706       626       2.00 Mbit/s         360000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000            24.00 Mbit                  23.55 Mbit                  handover_eval
37              692       683       2.00 Mbit/s         370000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000            24.00 Mbit                  23.55 Mbit                  handover_eval
38              648       642       2.00 Mbit/s         380000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000            24.00 Mbit                  23.55 Mbit                  handover_eval
