time_ns,gs_id,sat_id,distance_m,elevation_angle_deg,azimuth_angle_deg,distance_rate_m_per_s,time_to_loss_s,signal_margin_percent,estimated_snr_db,path_loss_db,bandwidth_available_mbps,utilization_percent,num_active_connections,estimated_queue_latency_ms,hops_to_destination,num_satellite_alternatives,connection_stability_score,orbit_phase_percent,connection_age_s,gs_latitude_deg,gs_longitude_deg,sat_latitude_deg,sat_longitude_deg,visible
0,0,6,626447.75,60.134009981167765,62.22692337683224,3013.623046875,157.13718757594907,43.05020454545454,-137.32864092331255,177.32864092331255,10.0,50.0,1,500.0,21,3,0.0,74.03395164208229,0.0,19.427318,-99.141869,20.50345095436019,-96.7025764200384,1
0,0,365,1024151.125,28.861541488873744,267.71000217908016,-3092.566650390625,inf,6.895352272727273,-141.59822477665904,181.59822477665904,10.0,50.0,1,500.0,1,3,0.0,43.04821183672173,0.0,19.427318,-99.141869,18.850849118635168,-107.0005277637475,1
0,0,390,959137.875,31.726088675831242,92.76833281659769,3795.05224609375,37.11730850213972,12.805647727272728,-141.028564668841,181.028564668841,10.0,0.0,0,0.0,2,3,0.0,43.04821183672173,0.0,19.427318,-99.141869,18.850849118635168,-92.00053076142905,1
0,1,90,1023461.25,28.877927112692607,315.2282292915058,-5795.27392578125,inf,6.958068181818177,-141.59237193223015,181.59237193223015,10.0,50.0,1,500.0,1,4,0.0,43.04821183672173,0.0,13.721964,100.525248,18.850849118635168,94.99946875049572,1
0,1,91,950577.125,32.074687870690354,149.51622870540746,5671.1669921875,26.347817866383114,13.583897727272731,-140.95069103031776,180.95069103031776,10.0,33.333333333333336,2,333.33333333333337,2,4,0.0,65.8651321653752,0.0,13.721964,100.525248,7.865562178369351,103.9389364494243,1
0,1,355,942552.75,32.292444546714115,232.4583303631338,-5433.1669921875,inf,14.31338636363636,-140.87705714602666,180.87705714602666,10.0,0.0,0,0.0,22,4,0.0,51.217031313428805,0.0,13.721964,100.525248,9.562614031439168,95.21687367177722,1
0,1,356,1053343.125,27.549996611616848,27.184456840068815,5887.46337890625,7.9247839005102625,4.241534090909093,-141.84234114936785,181.84234114936785,10.0,50.0,1,500.0,21,4,0.0,74.03395164208229,0.0,13.721964,100.525248,20.50345095436019,104.29742575820158,1
0,2,438,608162.5,64.96956534748335,178.71278755797573,1884.5433349609375,260.98497756762634,44.7125,-137.07133659944546,177.07133659944546,10.0,33.333333333333336,2,333.33333333333337,3,4,0.0,81.49887687022523,0.0,41.85003,-87.65005,39.544964803676265,-87.58801682173655,1
0,2,462,916262.5625,34.30573501212917,344.8906207058473,-3887.273193359375,inf,16.70340340909091,-140.63134269119638,180.63134269119638,10.0,50.0,1,500.0,1,4,0.0,42.766462232382224,0.0,41.85003,-87.65005,47.70980708845536,-90.0776207742062,1
0,2,584,975109.0625,31.324408665837378,17.62551318153488,4147.98876953125,30.10879354770131,11.353721590909094,-141.17200770306806,181.17200770306806,10.0,0.0,0,0.0,9,4,0.0,58.400206937232255,0.0,41.85003,-87.65005,48.22137118181639,-84.5146161103384,1
