0,668,704,5.000000,0,10000000000,5.000400,4.907059,4167,6250500,6133824,handover_eval
1,637,635,5.000000,8000000000,10000000000,5.000400,4.907059,4167,6250500,6133824,handover_eval
2,657,680,5.000000,16000000000,10000000000,4.699200,4.611482,3916,5874000,5764352,handover_eval
3,657,647,5.000000,24000000000,10000000000,4.408800,4.326502,3674,5511000,5408128,handover_eval
4,649,635,5.000000,32000000000,10000000000,5.000400,4.907059,4167,6250500,6133824,handover_eval
5,692,702,5.000000,40000000000,10000000000,5.000400,4.907059,4167,6250500,6133824,handover_eval
6,687,703,5.000000,48000000000,10000000000,5.000400,4.907059,4167,6250500,6133824,handover_eval
7,712,641,5.000000,56000000000,10000000000,5.000400,4.907059,4167,6250500,6133824,handover_eval
8,647,683,5.000000,64000000000,10000000000,5.000400,4.907059,4167,6250500,6133824,handover_eval
9,649,690,5.000000,72000000000,10000000000,4.956000,4.863488,4130,6195000,6079360,handover_eval
10,651,674,5.000000,80000000000,10000000000,5.000400,4.907059,4167,6250500,6133824,handover_eval
11,723,684,5.000000,88000000000,10000000000,5.000400,4.907059,4167,6250500,6133824,handover_eval
12,675,632,5.000000,96000000000,10000000000,5.000400,4.907059,4167,6250500,6133824,handover_eval
13,653,659,5.000000,104000000000,10000000000,5.000400,4.907059,4167,6250500,6133824,handover_eval
14,649,638,5.000000,112000000000,10000000000,5.000400,4.907059,4167,6250500,6133824,handover_eval
15,722,684,5.000000,120000000000,10000000000,5.000400,4.907059,4167,6250500,6133824,handover_eval
16,712,665,5.000000,128000000000,10000000000,5.000400,4.907059,4167,6250500,6133824,handover_eval
17,626,670,5.000000,136000000000,10000000000,5.000400,4.907059,4167,6250500,6133824,handover_eval
18,689,627,5.000000,144000000000,10000000000,5.000400,4.907059,4167,6250500,6133824,handover_eval
19,627,657,5.000000,152000000000,10000000000,5.000400,4.907059,4167,6250500,6133824,handover_eval
20,645,651,5.000000,160000000000,10000000000,5.000400,4.907059,4167,6250500,6133824,handover_eval
21,719,629,5.000000,168000000000,10000000000,5.000400,4.907059,4167,6250500,6133824,handover_eval
22,708,661,5.000000,176000000000,10000000000,5.000400,4.907059,4167,6250500,6133824,handover_eval
23,704,722,5.000000,184000000000,10000000000,5.000400,4.907059,4167,6250500,6133824,handover_eval
24,699,633,5.000000,192000000000,10000000000,5.000400,4.907059,4167,6250500,6133824,handover_eval
