4,0,32059257014
4,1,32061660219
4,2,32064063421
4,3,32066466625
4,4,32068869827
4,5,32071273030
4,6,32073676234
4,7,32076079436
4,8,32078482641
4,9,32080885843
4,10,32083289045
4,11,32085692250
4,12,32088095452
4,13,32090498656
4,14,32092901859
4,15,32095305061
4,16,32097708265
4,17,32100111468
4,18,32102514672
4,19,32104917874
4,20,32107321077
4,21,32109724281
4,22,32112127483
4,23,32114530688
4,24,32116933890
4,25,32119337092
4,26,32121740297
4,27,32124143499
4,28,32126546703
4,29,32128949906
4,30,32131353108
4,31,32133756312
4,32,32136159515
4,33,32138562719
4,34,32140965922
4,35,32143369124
4,36,32145772328
4,37,32148175531
4,38,32150578735
4,39,32152981937
4,40,32155385142
4,41,32157788344
4,42,32160191546
4,43,32162594751
4,44,32164997953
4,45,32167401157
4,46,32169804360
4,47,32172207562
4,48,32174610767
4,49,32177013969
4,50,32179417173
4,51,32181820376
4,52,32184223578
4,53,32186626782
4,54,32189029985
4,55,32191433189
4,56,32193836392
4,57,32196239594
4,58,32198642798
4,59,32201046001
4,60,32203449205
4,61,32205852408
4,62,32208255610
4,63,32210658814
4,64,32213062017
4,65,32215465221
4,66,32217868424
4,67,32220271626
4,68,32222674830
4,69,32225078033
4,70,32227481237
4,71,32229884440
4,72,32232287642
4,73,32234690847
4,74,32237094049
4,75,32239497253
4,76,32241900456
4,77,32244303658
4,78,32246706863
4,79,32249110065
4,80,32251513269
4,81,32253916472
4,82,32256319674
4,83,32258722879
4,84,32261126081
4,85,32263529286
4,86,32265932488
4,87,32268335691
4,88,32270738895
4,89,32273142098
4,90,32275545302
4,91,32277948504
4,92,32280351707
4,93,32282754911
4,94,32285158114
4,95,32287561318
4,96,32289964521
4,97,32292367723
4,98,32294770927
4,99,32297174130
4,100,32299577334
4,101,32301980537
4,102,32304383739
4,103,32306786944
4,104,32309190146
4,105,32311593351
4,106,32313996553
4,107,32316399758
4,108,32318802960
4,109,32321206163
4,110,32323609367
4,111,32326012570
4,112,32328415774
4,113,32330818977
4,114,32333222179
4,115,32335625383
4,116,32338028586
4,117,32340431790
4,118,32342834993
4,119,32345238196
4,120,32347641400
4,121,32350044602
4,122,32352447807
4,123,32354851009
4,124,32357254212
4,125,32359657416
4,126,32362060619
4,127,32364463823
4,128,32366867026
4,129,32369270229
4,130,32371673433
4,131,32374076636
4,132,32376479840
4,133,32378883042
4,134,32381286245
4,135,32383689449
4,136,32386092652
4,137,32388495856
4,138,32390899059
4,139,32393302262
4,140,32395705466
4,141,32398108669
4,142,32400511873
4,143,32402915076
4,144,32405318278
4,145,32407721483
4,146,32410124685
4,147,32412527890
4,148,32414931092
4,149,32417334295
4,150,32419737499
4,151,32422140702
4,152,32424543906
4,153,32426947109
4,154,32429350312
4,155,32431753516
4,156,32434156719
4,157,32436559923
4,158,32438963126
4,159,32441366328
4,160,32443769533
4,161,32446172736
4,162,32448575940
4,163,32450979143
4,164,32453382345
4,165,32455785550
4,166,32458188752
4,167,32460591957
4,168,32462995159
4,169,32465398364
4,170,32467801567
4,171,32470204769
4,172,32472607974
4,173,32475011176
4,174,32477414381
4,175,32479817583
4,176,32482220786
4,177,32484623991
4,178,32487027193
4,179,32489430398
4,180,32491833600
4,181,32494236803
4,182,32496640007
4,183,32499043210
4,184,32501446415
4,185,32503849617
4,186,32506252820
4,187,32508656024
4,188,32511059227
4,189,32513462432
4,190,32515865634
4,191,32518268837
4,192,32520672041
4,193,32523075244
4,194,32525478449
4,195,32527881651
4,196,32530284854
4,197,32532688059
4,198,32535091261
4,199,32537494466
4,200,32539897668
4,201,32542300871
4,202,32544704076
4,203,32547107278
4,204,32549510483
4,205,32551913686
4,206,32554316888
4,207,32556720093
4,208,32559123295
4,209,32561526500
4,210,32563929703
4,211,32566332905
4,212,32568736110
4,213,32571139313
4,214,32573542517
4,215,32575945720
4,216,32578348923
4,217,32580752127
4,218,32583155330
4,219,32585558534
4,220,32587961737
4,221,32590364940
4,222,32592768144
4,223,32595171347
4,224,32597574552
4,225,32599977754
4,226,32602380957
4,227,32604784162
4,228,32607187364
4,229,32609590569
4,230,32611993772
4,231,32614396976
4,232,32616800179
4,233,32619203382
4,234,32621606586
4,235,32624009789
4,236,32626412994
4,237,32628816196
4,238,32631219399
4,239,32633622604
4,240,32636025806
4,241,32638429011
4,242,32640832214
4,243,32643235417
4,244,32645638621
4,245,32648041824
4,246,32650445028
4,247,32652848231
4,248,32655251434
4,249,32657654639
4,250,32660057841
4,251,32662461046
4,252,32664864249
4,253,32667267451
4,254,32669670656
4,255,32672073859
4,256,32674477063
4,257,32676880266
4,258,32679283469
4,259,32681686674
4,260,32684089876
4,261,32686493081
4,262,32688896284
4,263,32691299487
4,264,32693702691
4,265,32696105894
4,266,32698509099
4,267,32700912301
4,268,32703315504
4,269,32705718709
4,270,32708121912
4,271,32710525116
4,272,32712928319
4,273,32715331522
4,274,32717734726
4,275,32720137929
4,276,32722541134
4,277,32724944337
4,278,32727347540
4,279,32729750744
4,280,32732153947
4,281,32734557152
4,282,32736960354
4,283,32739363557
4,284,32741766762
4,285,32744169965
4,286,32746573169
4,287,32748976372
4,288,32751379575
4,289,32753782780
4,290,32756185983
4,291,32758589187
4,292,32760992390
4,293,32763395595
4,294,32765798798
4,295,32768202000
4,296,32770605205
