TCP Flow ID     Source    Target    Size            Start time (ns)   End time (ns)     Duration        Sent            Progress     Avg. rate       Finished?     Metadata
0               630       639       40.00 Mbit      0                 8597811581        8597.81 ms      40.00 Mbit      100.0%       4.7 Mbit/s      YES           handover_eval
1               662       674       40.00 Mbit      3000000000        7845742933        4845.74 ms      40.00 Mbit      100.0%       8.3 Mbit/s      YES           handover_eval
2               704       654       40.00 Mbit      6000000000        14887271905       8887.27 ms      40.00 Mbit      100.0%       4.5 Mbit/s      YES           handover_eval
3               640       655       40.00 Mbit      9000000000        15840663417       6840.66 ms      40.00 Mbit      100.0%       5.8 Mbit/s      YES           handover_eval
4               640       717       40.00 Mbit      12000000000       20491221003       8491.22 ms      40.00 Mbit      100.0%       4.7 Mbit/s      YES           handover_eval
5               706       684       40.00 Mbit      15000000000       21575573350       6575.57 ms      40.00 Mbit      100.0%       6.1 Mbit/s      YES           handover_eval
6               684       670       40.00 Mbit      18000000000       28322636597       10322.64 ms     40.00 Mbit      100.0%       3.9 Mbit/s      YES           handover_eval
7               662       659       40.00 Mbit      21000000000       30721681062       9721.68 ms      40.00 Mbit      100.0%       4.1 Mbit/s      YES           handover_eval
8               695       639       40.00 Mbit      24000000000       29327357164       5327.36 ms      40.00 Mbit      100.0%       7.5 Mbit/s      YES           handover_eval
9               689       720       40.00 Mbit      27000000000       34384007720       7384.01 ms      40.00 Mbit      100.0%       5.4 Mbit/s      YES           handover_eval
10              697       674       40.00 Mbit      30000000000       38856608813       8856.61 ms      40.00 Mbit      100.0%       4.5 Mbit/s      YES           handover_eval
11              696       667       40.00 Mbit      33000000000       39465486612       6465.49 ms      40.00 Mbit      100.0%       6.2 Mbit/s      YES           handover_eval
12              641       713       40.00 Mbit      36000000000       42301713327       6301.71 ms      40.00 Mbit      100.0%       6.3 Mbit/s      YES           handover_eval
13              649       660       40.00 Mbit      39000000000       48552999631       9553.00 ms      40.00 Mbit      100.0%       4.2 Mbit/s      YES           handover_eval
14              659       720       40.00 Mbit      42000000000       53936128437       11936.13 ms     40.00 Mbit      100.0%       3.4 Mbit/s      YES           handover_eval
15              670       700       40.00 Mbit      45000000000       52985037430       7985.04 ms      40.00 Mbit      100.0%       5.0 Mbit/s      YES           handover_eval
16              668       700       40.00 Mbit      48000000000       55960107110       7960.11 ms      40.00 Mbit      100.0%       5.0 Mbit/s      YES           handover_eval
