Source    Target    Mean latency there    Mean latency back     Min. RTT        Mean RTT        Max. RTT        Smp.std. RTT    Reply arrival
625       626       72.90 ms              75.18 ms              122.94 ms       148.08 ms       374.45 ms       21.39 ms        240/240 (100%)
626       627       67.43 ms              67.65 ms              118.57 ms       135.08 ms       233.52 ms       14.10 ms        239/240 (100%)
627       628       63.87 ms              64.04 ms              112.55 ms       127.91 ms       223.06 ms       13.86 ms        239/240 (100%)
628       629       74.31 ms              74.80 ms              134.04 ms       149.10 ms       212.58 ms       8.22 ms         240/240 (100%)
629       630       70.63 ms              70.54 ms              73.18 ms        141.17 ms       263.69 ms       40.26 ms        240/240 (100%)
630       631       63.13 ms              62.51 ms              104.90 ms       125.64 ms       203.06 ms       26.08 ms        240/240 (100%)
631       632       86.40 ms              87.33 ms              108.10 ms       173.73 ms       275.82 ms       21.64 ms        240/240 (100%)
632       633       71.40 ms              71.50 ms              115.73 ms       142.90 ms       262.20 ms       31.19 ms        240/240 (100%)
633       634       90.35 ms              92.41 ms              101.79 ms       182.76 ms       300.70 ms       31.94 ms        240/240 (100%)
634       635       53.76 ms              52.18 ms              73.69 ms        105.94 ms       277.61 ms       50.73 ms        240/240 (100%)
635       636       48.87 ms              50.37 ms              67.69 ms        99.24 ms        255.34 ms       35.84 ms        240/240 (100%)
636       637       45.91 ms              45.77 ms              37.49 ms        91.68 ms        188.16 ms       38.70 ms        240/240 (100%)
637       638       44.29 ms              45.09 ms              63.26 ms        89.38 ms        183.60 ms       31.58 ms        240/240 (100%)
638       639       82.53 ms              81.53 ms              88.86 ms        164.07 ms       283.93 ms       36.62 ms        240/240 (100%)
639       640       93.85 ms              92.62 ms              86.65 ms        186.47 ms       322.20 ms       29.02 ms        239/240 (100%)
640       641       55.43 ms              55.63 ms              75.72 ms        111.06 ms       220.31 ms       28.63 ms        240/240 (100%)
641       642       56.90 ms              56.15 ms              11.61 ms        113.06 ms       313.37 ms       89.35 ms        240/240 (100%)
642       643       91.09 ms              91.82 ms              67.53 ms        182.92 ms       398.45 ms       41.41 ms        239/240 (100%)
643       644       67.45 ms              68.07 ms              103.34 ms       135.52 ms       365.21 ms       24.03 ms        239/240 (100%)
644       645       54.25 ms              55.01 ms              59.78 ms        109.27 ms       351.94 ms       44.04 ms        240/240 (100%)
645       646       66.40 ms              65.17 ms              67.27 ms        131.57 ms       264.31 ms       41.01 ms        239/240 (100%)
646       647       80.55 ms              81.21 ms              136.12 ms       161.76 ms       250.71 ms       23.68 ms        240/240 (100%)
647       648       75.09 ms              74.82 ms              83.16 ms        149.91 ms       209.18 ms       38.02 ms        238/240 (99%)
648       649       72.66 ms              73.64 ms              132.41 ms       146.31 ms       340.45 ms       24.25 ms        239/240 (100%)
649       650       72.63 ms              71.35 ms              117.63 ms       143.98 ms       326.01 ms       21.66 ms        239/240 (100%)
650       651       54.61 ms              53.26 ms              60.66 ms        107.87 ms       317.05 ms       49.36 ms        240/240 (100%)
651       652       47.88 ms              48.81 ms              75.06 ms        96.69 ms        190.85 ms       19.53 ms        240/240 (100%)
652       653       68.89 ms              68.65 ms              95.93 ms        137.54 ms       238.32 ms       24.30 ms        240/240 (100%)
653       654       71.98 ms              71.84 ms              112.31 ms       143.82 ms       185.71 ms       19.19 ms        239/240 (100%)
654       655       85.15 ms              84.99 ms              105.99 ms       170.14 ms       411.82 ms       34.28 ms        239/240 (100%)
655       656       78.63 ms              81.22 ms              90.49 ms        159.85 ms       389.43 ms       46.07 ms        239/240 (100%)
656       657       95.46 ms              96.33 ms              93.65 ms        191.79 ms       435.45 ms       39.94 ms        239/240 (100%)
657       658       59.24 ms              58.24 ms              28.82 ms        117.48 ms       310.87 ms       37.15 ms        240/240 (100%)
658       659       70.50 ms              69.53 ms              108.83 ms       140.03 ms       278.08 ms       30.10 ms        238/240 (99%)
659       660       72.31 ms              71.27 ms              131.00 ms       143.59 ms       383.24 ms       18.61 ms        238/240 (99%)
660       661       54.24 ms              54.06 ms              78.66 ms        108.30 ms       186.02 ms       29.06 ms        240/240 (100%)
661       662       60.78 ms              61.52 ms              74.51 ms        122.30 ms       209.32 ms       37.00 ms        240/240 (100%)
662       663       82.60 ms              82.77 ms              64.26 ms        165.37 ms       335.48 ms       51.97 ms        237/240 (99%)
663       664       57.06 ms              58.18 ms              95.07 ms        115.24 ms       338.63 ms       21.63 ms        239/240 (100%)
664       665       77.14 ms              77.02 ms              113.99 ms       154.16 ms       229.73 ms       28.54 ms        240/240 (100%)
665       666       81.94 ms              81.30 ms              95.65 ms        163.23 ms       261.49 ms       32.00 ms        240/240 (100%)
666       667       75.49 ms              74.21 ms              30.98 ms        149.70 ms       307.34 ms       59.64 ms        238/240 (99%)
667       668       73.71 ms              72.93 ms              74.80 ms        146.65 ms       296.86 ms       54.69 ms        239/240 (100%)
668       669       78.71 ms              78.52 ms              111.40 ms       157.24 ms       351.18 ms       26.72 ms        240/240 (100%)
669       670       58.17 ms              58.16 ms              63.89 ms        116.33 ms       299.48 ms       57.76 ms        240/240 (100%)
670       671       88.66 ms              89.62 ms              10.21 ms        178.28 ms       347.27 ms       96.40 ms        239/240 (100%)
671       672       65.30 ms              64.61 ms              92.60 ms        129.91 ms       272.15 ms       28.24 ms        239/240 (100%)
672       673       44.99 ms              45.05 ms              58.65 ms        90.04 ms        174.26 ms       18.36 ms        239/240 (100%)
673       674       54.32 ms              53.76 ms              39.52 ms        108.08 ms       256.84 ms       54.59 ms        239/240 (100%)
674       675       66.59 ms              66.54 ms              82.08 ms        133.13 ms       198.92 ms       30.08 ms        240/240 (100%)
