84,71,1.000000
84,85,1.000000
137,28,0.500000
137,88,0.500000
138,83,1.000000
138,102,1.000000
203,22,1.000000
203,70,1.000000
206,19,1.000000
206,40,1.000000
252,49,0.500000
252,50,0.500000
356,12,0.500000
356,77,0.500000
387,42,1.000000
387,86,1.000000
388,4,1.000000
388,10,1.000000
402,38,0.500000
402,78,0.500000
461,6,1.000000
461,58,0.500000
625,0,1.000000
627,0,1.000000
631,0,1.000000
633,0,0.500000
640,0,1.000000
643,0,1.000000
649,0,0.500000
659,0,0.500000
661,0,1.000000
663,0,1.000000
670,0,0.500000
671,0,0.500000
679,0,0.500000
691,0,1.000000
692,0,1.000000
698,0,0.500000
699,0,0.500000
704,0,1.000000
706,0,1.000000
707,0,1.000000
709,0,0.500000
723,0,1.000000
