29,63,0.500000
29,79,0.500000
34,25,0.500000
34,34,0.500000
37,61,1.000000
37,96,1.000000
59,34,1.000000
59,71,1.000000
89,7,0.500000
89,54,0.500000
109,91,1.000000
109,100,1.000000
161,28,0.500000
161,31,0.500000
183,43,0.500000
183,51,0.500000
208,51,1.000000
208,95,1.000000
356,64,1.000000
356,77,1.000000
388,4,1.000000
388,63,1.000000
625,0,1.000000
628,0,0.500000
646,0,0.500000
649,0,0.500000
652,0,0.500000
664,0,0.500000
675,0,0.500000
682,0,1.000000
685,0,1.000000
692,0,1.000000
698,0,1.000000
700,0,0.500000
712,0,1.000000
716,0,1.000000
717,0,1.000000
721,0,1.000000
