0,685,665,2.0,0,12000000000,,handover_eval
1,722,680,2.0,10000000000,12000000000,,handover_eval
2,707,680,2.0,20000000000,12000000000,,handover_eval
3,637,663,2.0,30000000000,12000000000,,handover_eval
4,671,699,2.0,40000000000,12000000000,,handover_eval
5,638,657,2.0,50000000000,12000000000,,handover_eval
6,675,628,2.0,60000000000,12000000000,,handover_eval
7,707,662,2.0,70000000000,12000000000,,handover_eval
8,671,648,2.0,80000000000,12000000000,,handover_eval
9,640,691,2.0,90000000000,12000000000,,handover_eval
10,693,638,2.0,100000000000,12000000000,,handover_eval
11,642,677,2.0,110000000000,12000000000,,handover_eval
12,711,703,2.0,120000000000,12000000000,,handover_eval
13,709,700,2.0,130000000000,12000000000,,handover_eval
14,638,712,2.0,140000000000,12000000000,,handover_eval
15,641,691,2.0,150000000000,12000000000,,handover_eval
16,702,694,2.0,160000000000,12000000000,,handover_eval
17,708,682,2.0,170000000000,12000000000,,handover_eval
18,693,714,2.0,180000000000,12000000000,,handover_eval
19,696,651,2.0,190000000000,12000000000,,handover_eval
20,682,641,2.0,200000000000,12000000000,,handover_eval
21,636,658,2.0,210000000000,12000000000,,handover_eval
22,651,628,2.0,220000000000,12000000000,,handover_eval
23,700,641,2.0,230000000000,12000000000,,handover_eval
24,708,695,2.0,240000000000,12000000000,,handover_eval
25,677,721,2.0,250000000000,12000000000,,handover_eval
26,656,715,2.0,260000000000,12000000000,,handover_eval
27,653,687,2.0,270000000000,12000000000,,handover_eval
28,630,635,2.0,280000000000,12000000000,,handover_eval
29,693,628,2.0,290000000000,12000000000,,handover_eval
30,716,692,2.0,300000000000,12000000000,,handover_eval
31,625,709,2.0,310000000000,12000000000,,handover_eval
32,658,682,2.0,320000000000,12000000000,,handover_eval
33,691,685,2.0,330000000000,12000000000,,handover_eval
34,680,674,2.0,340000000000,12000000000,,handover_eval
35,679,707,2.0,350000000000,12000000000,,handover_eval
36,706,626,2.0,360000000000,12000000000,,handover_eval
37,692,683,2.0,370000000000,12000000000,,handover_eval
38,648,642,2.0,380000000000,12000000000,,handover_eval
39,704,628,2.0,390000000000,12000000000,,handover_eval
40,633,690,2.0,400000000000,12000000000,,handover_eval
41,722,635,2.0,410000000000,12000000000,,handover_eval
42,648,688,2.0,420000000000,12000000000,,handover_eval
43,708,705,2.0,430000000000,12000000000,,handover_eval
44,655,652,2.0,440000000000,12000000000,,handover_eval
45,650,702,2.0,450000000000,12000000000,,handover_eval
46,665,636,2.0,460000000000,12000000000,,handover_eval
47,657,718,2.0,470000000000,12000000000,,handover_eval
48,628,711,2.0,480000000000,12000000000,,handover_eval
49,679,639,2.0,490000000000,12000000000,,handover_eval
50,637,658,2.0,500000000000,12000000000,,handover_eval
51,630,704,2.0,510000000000,12000000000,,handover_eval
52,678,691,2.0,520000000000,12000000000,,handover_eval
53,637,713,2.0,530000000000,12000000000,,handover_eval
54,663,691,2.0,540000000000,12000000000,,handover_eval
55,698,682,2.0,550000000000,12000000000,,handover_eval
56,665,700,2.0,560000000000,12000000000,,handover_eval
57,697,704,2.0,570000000000,12000000000,,handover_eval
58,674,718,2.0,580000000000,12000000000,,handover_eval
59,712,722,2.0,590000000000,12000000000,,handover_eval
60,719,656,2.0,600000000000,12000000000,,handover_eval
61,723,674,2.0,610000000000,12000000000,,handover_eval
62,688,626,2.0,620000000000,12000000000,,handover_eval
63,701,647,2.0,630000000000,12000000000,,handover_eval
64,655,720,2.0,640000000000,12000000000,,handover_eval
65,660,663,2.0,650000000000,12000000000,,handover_eval
66,669,651,2.0,660000000000,12000000000,,handover_eval
67,666,711,2.0,670000000000,12000000000,,handover_eval
68,672,650,2.0,680000000000,12000000000,,handover_eval
69,642,659,2.0,690000000000,12000000000,,handover_eval
70,677,676,2.0,700000000000,12000000000,,handover_eval
71,645,643,2.0,710000000000,12000000000,,handover_eval
72,646,711,2.0,720000000000,12000000000,,handover_eval
73,719,658,2.0,730000000000,12000000000,,handover_eval
74,654,681,2.0,740000000000,12000000000,,handover_eval
75,688,709,2.0,750000000000,12000000000,,handover_eval
76,696,645,2.0,760000000000,12000000000,,handover_eval
77,694,645,2.0,770000000000,12000000000,,handover_eval
78,665,639,2.0,780000000000,12000000000,,handover_eval
79,637,699,2.0,790000000000,12000000000,,handover_eval
80,708,695,2.0,800000000000,12000000000,,handover_eval
81,697,668,2.0,810000000000,12000000000,,handover_eval
82,666,723,2.0,820000000000,12000000000,,handover_eval
83,686,698,2.0,830000000000,12000000000,,handover_eval
84,686,694,2.0,840000000000,12000000000,,handover_eval
85,640,718,2.0,850000000000,12000000000,,handover_eval
86,697,721,2.0,860000000000,12000000000,,handover_eval
87,656,650,2.0,870000000000,12000000000,,handover_eval
88,690,702,2.0,880000000000,12000000000,,handover_eval
89,630,650,2.0,890000000000,12000000000,,handover_eval
90,629,678,2.0,900000000000,12000000000,,handover_eval
91,701,713,2.0,910000000000,12000000000,,handover_eval
92,712,679,2.0,920000000000,12000000000,,handover_eval
93,685,704,2.0,930000000000,12000000000,,handover_eval
94,714,718,2.0,940000000000,12000000000,,handover_eval
95,681,716,2.0,950000000000,12000000000,,handover_eval
96,708,665,2.0,960000000000,12000000000,,handover_eval
97,696,657,2.0,970000000000,12000000000,,handover_eval
98,692,717,2.0,980000000000,12000000000,,handover_eval
99,691,708,2.0,990000000000,12000000000,,handover_eval
100,672,639,2.0,1000000000000,12000000000,,handover_eval
101,630,664,2.0,1010000000000,12000000000,,handover_eval
102,647,687,2.0,1020000000000,12000000000,,handover_eval
103,647,717,2.0,1030000000000,12000000000,,handover_eval
104,632,643,2.0,1040000000000,12000000000,,handover_eval
105,709,712,2.0,1050000000000,12000000000,,handover_eval
106,639,688,2.0,1060000000000,12000000000,,handover_eval
107,639,692,2.0,1070000000000,12000000000,,handover_eval
108,721,637,2.0,1080000000000,12000000000,,handover_eval
109,669,664,2.0,1090000000000,12000000000,,handover_eval
110,664,692,2.0,1100000000000,12000000000,,handover_eval
111,686,651,2.0,1110000000000,12000000000,,handover_eval
112,634,722,2.0,1120000000000,12000000000,,handover_eval
113,709,684,2.0,1130000000000,12000000000,,handover_eval
114,684,692,2.0,1140000000000,12000000000,,handover_eval
115,713,656,2.0,1150000000000,12000000000,,handover_eval
116,715,657,2.0,1160000000000,12000000000,,handover_eval
117,691,669,2.0,1170000000000,12000000000,,handover_eval
118,664,683,2.0,1180000000000,12000000000,,handover_eval
119,704,684,2.0,1190000000000,12000000000,,handover_eval
