0,630,639,5000000,0,12804281803,12804281803,5000000,YES,handover_eval
1,662,674,5000000,5000000000,18809001612,13809001612,5000000,YES,handover_eval
2,704,654,5000000,10000000000,19065660614,9065660614,5000000,YES,handover_eval
3,640,655,5000000,15000000000,25203712037,10203712037,5000000,YES,handover_eval
4,640,717,5000000,20000000000,25727890808,5727890808,5000000,YES,handover_eval
5,706,684,5000000,25000000000,33965264871,8965264871,5000000,YES,handover_eval
6,684,670,5000000,30000000000,42286901187,12286901187,5000000,YES,handover_eval
7,662,659,5000000,35000000000,42947482543,7947482543,5000000,YES,handover_eval
8,695,639,5000000,40000000000,50637376545,10637376545,5000000,YES,handover_eval
9,689,720,5000000,45000000000,53903511914,8903511914,5000000,YES,handover_eval
10,697,674,5000000,50000000000,58887455391,8887455391,5000000,YES,handover_eval
11,696,667,5000000,55000000000,61372655523,6372655523,5000000,YES,handover_eval
12,641,713,5000000,60000000000,69126292036,9126292036,5000000,YES,handover_eval
13,649,660,5000000,65000000000,74291567722,9291567722,5000000,YES,handover_eval
14,659,720,5000000,70000000000,81983046383,11983046383,5000000,YES,handover_eval
15,670,700,5000000,75000000000,85881024353,10881024353,5000000,YES,handover_eval
16,668,700,5000000,80000000000,93110840351,13110840351,5000000,YES,handover_eval
17,694,668,5000000,85000000000,95222995760,10222995760,5000000,YES,handover_eval
18,705,716,5000000,90000000000,98721733071,8721733071,5000000,YES,handover_eval
19,701,633,5000000,95000000000,103902379599,8902379599,5000000,YES,handover_eval
20,708,694,5000000,100000000000,108363789638,8363789638,5000000,YES,handover_eval
21,645,673,5000000,105000000000,121702520559,16702520559,5000000,YES,handover_eval
22,657,661,5000000,110000000000,118868120301,8868120301,5000000,YES,handover_eval
23,682,647,5000000,115000000000,122745037770,7745037770,5000000,YES,handover_eval
24,665,655,5000000,120000000000,133702584444,13702584444,5000000,YES,handover_eval
